Census_Tract,year,vax_status,flu_count,nsamples
53033000200,2018.865385,1,0,1
53033000200,2018.884615,1,0,1
53033000200,2018.903846,0,0,1
53033000200,2018.903846,1,0,1
53033000200,2018.923077,0,0,1
53033000200,2018.942308,1,0,1
53033000200,2018.961538,1,0,1
53033000200,2018.980769,0,3,3
53033000200,2018.980769,1,1,1
53033000200,2019,0,1,1
53033000200,2019,1,1,3
53033000200,2019.019231,0,5,5
53033000200,2019.019231,1,1,3
53033000200,2019.038462,0,4,4
53033000200,2019.038462,1,0,1
53033000200,2019.057692,0,1,1
53033000200,2019.057692,1,0,2
53033000200,2019.076923,0,0,1
53033000200,2019.096154,1,0,2
53033000200,2019.153846,0,0,1
53033000200,2019.153846,1,0,1
53033000200,2019.230769,1,0,1
53033000200,2019.25,1,0,1
53033000200,2019.269231,0,0,1
53033000200,2019.288462,0,0,1
53033000200,2019.307692,0,0,2
53033000200,2019.307692,1,0,1
53033000200,2019.346154,0,0,1
53033000900,2018.865385,1,0,1
53033000900,2018.884615,0,0,1
53033000900,2018.884615,1,0,1
53033000900,2018.961538,0,1,1
53033000900,2018.980769,1,2,2
53033000900,2019,0,1,1
53033000900,2019.019231,0,3,3
53033000900,2019.019231,1,1,1
53033000900,2019.038462,0,1,1
53033000900,2019.057692,0,1,1
53033000900,2019.076923,1,0,1
53033000900,2019.096154,0,0,1
53033000900,2019.115385,1,0,1
53033000900,2019.153846,0,0,1
53033000900,2019.192308,1,0,1
53033000900,2019.25,0,0,2
53033000900,2019.326923,0,0,1
53033000900,2019.384615,1,0,1
53033002000,2018.846154,0,0,1
53033002000,2018.884615,0,0,1
53033002000,2018.884615,1,0,2
53033002000,2018.903846,0,0,1
53033002000,2018.903846,1,0,1
53033002000,2018.942308,0,0,1
53033002000,2018.961538,0,0,1
53033002000,2018.980769,0,1,1
53033002000,2019,0,2,2
53033002000,2019,1,0,1
53033002000,2019.019231,0,3,3
53033002000,2019.038462,0,1,1
53033002000,2019.096154,1,1,1
53033002000,2019.115385,0,1,1
53033002000,2019.173077,0,0,1
53033002000,2019.173077,1,0,1
53033002000,2019.230769,0,0,1
53033002000,2019.25,0,0,1
53033002000,2019.25,1,0,1
53033002000,2019.269231,1,0,2
53033002000,2019.307692,0,0,1
53033002000,2019.346154,0,0,1
53033005000,2018.903846,1,0,1
53033005000,2018.980769,0,1,1
53033005000,2019,0,0,1
53033005000,2019,1,0,1
53033005000,2019.019231,0,0,1
53033005000,2019.038462,0,1,1
53033005000,2019.057692,0,0,1
53033005000,2019.076923,0,0,1
53033005000,2019.076923,1,0,1
53033005000,2019.115385,1,0,1
53033005000,2019.153846,1,0,1
53033005000,2019.211538,1,0,1
53033005000,2019.326923,0,0,1
53033005000,2019.365385,1,0,1
53033005801,2018.865385,0,0,2
53033005801,2018.961538,1,0,1
53033005801,2018.980769,1,1,1
53033005801,2019,0,2,4
53033005801,2019.019231,0,2,2
53033005801,2019.019231,1,0,2
53033005801,2019.038462,0,2,2
53033005801,2019.057692,0,1,4
53033005801,2019.153846,1,0,1
53033005801,2019.230769,0,0,1
53033005801,2019.269231,1,0,1
53033005801,2019.307692,1,0,1
53033005801,2019.346154,1,0,1
53033006800,2018.846154,0,0,1
53033006800,2018.846154,1,0,1
53033006800,2018.884615,0,0,1
53033006800,2018.903846,0,0,1
53033006800,2018.942308,0,1,1
53033006800,2018.961538,0,1,1
53033006800,2019,1,1,1
53033006800,2019.019231,0,1,1
53033006800,2019.019231,1,1,1
53033006800,2019.057692,0,1,1
53033006800,2019.076923,0,0,1
53033006800,2019.076923,1,0,1
53033006800,2019.115385,1,0,1
53033006800,2019.134615,0,0,1
53033006800,2019.192308,1,0,2
53033006800,2019.211538,1,0,1
53033006800,2019.25,1,0,1
53033006800,2019.288462,0,0,1
53033006800,2019.307692,0,0,2
53033006800,2019.326923,0,0,1
53033007900,2018.846154,1,0,1
53033007900,2018.961538,1,1,1
53033007900,2018.980769,1,1,2
53033007900,2019,0,1,1
53033007900,2019.038462,0,1,1
53033007900,2019.057692,0,1,1
53033007900,2019.115385,1,0,1
53033007900,2019.192308,0,0,1
53033007900,2019.326923,1,0,1
53033007900,2019.365385,0,0,1
53033009000,2019.019231,0,1,1
53033009000,2019.173077,1,0,1
53033010702,2018.865385,0,0,1
53033010702,2018.903846,0,0,1
53033010702,2018.980769,1,0,1
53033010702,2019.173077,0,0,1
53033010702,2019.25,1,0,1
53033010702,2019.326923,0,0,1
53033012100,2018.846154,0,0,1
53033012100,2018.865385,0,0,1
53033012100,2018.865385,1,0,1
53033012100,2018.923077,0,0,1
53033012100,2018.942308,0,1,1
53033012100,2018.942308,1,1,1
53033012100,2018.961538,0,1,2
53033012100,2018.980769,0,1,1
53033012100,2019,0,3,3
53033012100,2019,1,0,1
53033012100,2019.019231,1,1,1
53033012100,2019.038462,1,0,1
53033012100,2019.134615,0,0,1
53033012100,2019.173077,1,0,1
53033012100,2019.230769,1,0,1
53033012100,2019.25,1,0,1
53033022003,2018.865385,0,0,2
53033022003,2018.903846,1,0,1
53033022003,2018.923077,1,1,1
53033022003,2019.038462,1,0,1
53033022003,2019.057692,0,1,1
53033022003,2019.096154,0,1,1
53033022003,2019.096154,1,0,1
53033022003,2019.115385,0,2,2
53033022003,2019.153846,1,1,2
53033022003,2019.173077,1,0,1
53033022003,2019.211538,0,0,1
